id,source
"112470000273825","/images/maps/priority_projects/pp12_road.png"
"112470000273827","/images/maps/priority_projects/pp26_road.png"
"112470000297342","/images/maps/hungary/2007hu22020s.jpg"
"112470000297411","/images/maps/multi_country/2008eu90000s.jpg"
"112470000297463","/images/maps/luxembourg/2008lu91700p.jpg"
"112470000306046","/images/maps/spain/2008es92500s.jpg"
"112470000306112","/images/maps/spain/2008es92501s.jpg"
"112470000306145","/images/maps/spain/2008es92507p.jpg"
"112470000306179","/images/maps/spain/2008es92509p.jpg"
"112470000306257","/images/maps/spain/2008es92510s.jpg"
"112470000306560","/images/maps/spain/2008es92511p.jpg"
"112470000306627","/images/maps/spain/2008es92512p.jpg"
"112470000306689","/images/maps/spain/2008es92514p.jpg"
"112470000306736","/images/maps/france/2008fr90901s.jpg"
"112470000306855","/images/maps/france/2008fr90902s.jpg"
"112470000306944","/images/maps/france/2008fr90902s.jpg"
"112470000308199","/images/maps/poland/2008pl92001s.jpg"
"112470000308780","/images/maps/belgium/2007be28050p.jpg"
"112470000308826","/images/maps/belgium/2007be90203p.jpg"
"112470000308874","/images/maps/belgium/2007be02030p.jpg"
"112470000308946","/images/maps/austria/2007at01130p.jpg"
"112470000309290","/images/maps/germany/2007de01050p.jpg"
"112470000309876","/images/maps/germany/2007de04020p.jpg"
"112470000310028","/images/maps/germany/2007de20010s.jpg"
"112470000312791","/images/maps/belgium/2008be90200p.jpg"
"112470000312830","/images/maps/multi_country/2008eu40001s.jpg"
"112470000312896","/images/maps/multi_country/2008eu40005s.jpg"
"112470000312990","/images/maps/multi_country/2008eu40007s.jpg"
"112470000313050","/images/maps/portugal/2008pt92100p.jpg"
"112470000270547","/images/maps/germany/2007de02020p.jpg"
"112470000314288","/images/maps/germany/2007de90604p.jpg"
"112470000314528","/images/maps/germany/2007de90610p.jpg"
"112470000314672","/images/maps/multi_country/2007eu01180p.jpg"
"112470000314786","/images/maps/multi_country/2007eu01190s.jpg"
"112470000314804","/images/maps/finland/2007fi12010p.jpg"
"112470000314855","/images/maps/finland/2007fi12040p.jpg"
"112470000314905","/images/maps/finland/2007fi12050p.jpg"
"112470000314969","/images/maps/finland/2007fi91101p.jpg"
"112470000315049","/images/maps/ireland/2007ie26010s.jpg"
"112470000315184","/images/maps/italy/2007it01030m.jpg"
"112470000315260","/images/maps/italy/2007it06020s.jpg"
"112470000316251","/images/maps/italy/2007it91506s.jpg"
"112470000316380","/images/maps/luxembourg/2007lu28020p.jpg"
"112470000316419","/images/maps/the_netherlands/2007nl05020p.jpg"
"112470000316474","/images/maps/sweden/2007se12090p.jpg"
"112470000316524","/images/maps/sweden/2007se12100p.jpg"
"112470000316569","/images/maps/sweden/2007se92401s.jpg"
"112470000316645","/images/maps/sweden/2007se92402p.jpg"
"112470000316691","/images/maps/sweden/2007se92405p.jpg"
"112470000316844","/images/maps/united_kingdom/2007uk13010p.jpg"
"112470000319880","/images/maps/germany/2008de91001p.jpg"
"112470000320010","/images/maps/czech_republic/2008cz23466s.jpg"
"112470000320056","/images/maps/slovakia/2008sk92307s.jpg"
"112470000321679","/images/maps/germany/2008de91002p.jpg"
"112470000321787","/images/maps/germany/2008de91007s.jpg"
"112470000321878","/images/maps/finland/2008fi90800p.jpg"
"112470000321936","/images/maps/finland/2008fi90801s.jpg"
"112470000322003","/images/maps/finland/2008fi90802p.jpg"
"112470000322056","/images/maps/italy/2008it91400p.jpg"
"112470000322200","/images/maps/italy/2008it91401p.jpg"
"112470000322275","/images/maps/italy/2008it91403s.jpg"
"112470000322357","/images/maps/sweden/2008se92600s.jpg"
"112470000322847","/images/maps/sweden/2008se92603s.jpg"
"112470000322937","/images/maps/sweden/2008se92605s.jpg"
"112470000322974","/images/maps/sweden/2008se92607p.jpg"
"112470000323017","/images/maps/united_kingdom/2008uk92700p.jpg"
"112470000323340","/images/maps/latvia/2008lv91500s.jpg"
"112470000323423","/images/maps/bulgaria/2008bg90300s.jpg"
"112470000323460","/images/maps/italy/2008it91408s.jpg"
"112470000325036","/images/maps/multi_country/2008eu21020p.jpg"
"112470000325213","/images/maps/germany/2008de91009s.jpg"
"112470000336076","/images/maps/multi_country/2008eu90001s.jpg"
"112470000336207","/images/maps/multi_country/2008eu70000p.jpg"
"112470000336536","/images/maps/multi_country/2008eu30001p.jpg"
"112470000336601","/images/maps/sweden/2008se92606p.jpg"
"112470000336668","/images/maps/the_netherlands/2008nl70000p.jpg"
"112470000339246","/images/maps/italy/2008it91409s.jpg"
"112470000340318","/images/maps/greece/2008el91100s.jpg"
"112470000340362","/images/maps/greece/2008el91102s.jpg"
"112470000340412","/images/maps/slovenia/2008si92400s.jpg"
"112470000340508","/images/maps/slovenia/2008si92401s.jpg"
"112470000346889","/images/maps/france/2008fr90906p.jpg"
"112470000350492","/images/maps/poland/2008pl92005s.jpg"
"112470000350511","/images/maps/poland/2008pl92004s.jpg"
"112470000350548","/images/maps/italy/2008it91407p.jpg"
"112470000350838","/images/maps/multi_country/2007eu50010p.jpg"
"112470000350866","/images/maps/united_kingdom/2007uk92702p_copy.jpg"
"112470000350916","/images/maps/the_netherlands/2008nl70000p.jpg"
"112470000350609","/images/maps/multi_country/2008eu21015p.jpg"
"112470000352326","/images/maps/multi_country/2008eu70000s.jpg"
"112470000353176","/images/maps/belgium/2008be30000p.jpg"
"112470000355459","/images/maps/multi_country/2008eu91901s.jpg"
"112470000370082","/images/maps/portugal/2009pt08000e.jpg"
"112470000031445","/images/maps/multi_country/2008eu40006s.jpg"
"112470000053103","/images/maps/multi_country/2008eu21010pp.jpg"
"112470000069903","/images/maps/austria/2009at17098e.jpg"
"112470000070028","/images/maps/germany/2009de00023e.jpg"
"112470000070082","/images/maps/italy/2009it06047e.jpg"
"112470000070166","/images/maps/sweden/2009se12040e.jpg"
"112470000070207","/images/maps/united_kingdom/2009uk26029e.jpg"
"112470000070616","/images/maps/belgium/2009be00049e.jpg"
"112470000070728","/images/maps/italy/2009it00073e.jpg"
"112470000070762","/images/maps/sweden/2009se00011e.jpg"
"112470000070064","/images/maps/germany/2009de00066e.jpg"
"112470000072530","/images/maps/hungary/2009hu00018e.jpg"
"112470000072559","/images/maps/germany/2009de24070e.jpg"
"112470000072612","/images/maps/the_netherlands/2009nl00010e.jpg"
"112470000072634","/images/maps/the_netherlands/2009nl00072e.jpg"
"112470000073433","/images/maps/spain/2009es08092e.jpg"
